x,exact,equidistant,chebyshev
-0.303,-0.250264,-0.539039,-0.743678
-0.302,-0.250009,-0.540566,-0.746235
-0.301,-0.249748,-0.542091,-0.748796
-0.3,-0.24948,-0.543615,-0.75136
-0.299,-0.249205,-0.545136,-0.753928
-0.298,-0.248924,-0.546656,-0.7565
-0.297,-0.248635,-0.548174,-0.759075
-0.296,-0.24834,-0.54969,-0.761654
-0.295,-0.248038,-0.551204,-0.764236
-0.294,-0.247729,-0.552716,-0.766822
-0.293,-0.247414,-0.554226,-0.769411
-0.292,-0.247091,-0.555733,-0.772003
-0.291,-0.246762,-0.557239,-0.774599
-0.29,-0.246427,-0.558742,-0.777198
-0.289,-0.246084,-0.560242,-0.779801
-0.288,-0.245735,-0.56174,-0.782406
-0.287,-0.24538,-0.563236,-0.785015
-0.286,-0.245017,-0.564729,-0.787628
-0.285,-0.244648,-0.566219,-0.790243
-0.284,-0.244273,-0.567707,-0.792862
-0.283,-0.243891,-0.569192,-0.795483
-0.282,-0.243502,-0.570674,-0.798108
-0.281,-0.243107,-0.572153,-0.800735
-0.28,-0.242705,-0.573629,-0.803366
-0.279,-0.242297,-0.575102,-0.806
-0.278,-0.241882,-0.576572,-0.808636
-0.277,-0.241461,-0.578038,-0.811276
-0.276,-0.241033,-0.579501,-0.813918
-0.275,-0.240599,-0.580961,-0.816563
-0.274,-0.240159,-0.582418,-0.819211
-0.273,-0.239712,-0.58387,-0.821861
-0.272,-0.23926,-0.58532,-0.824515
-0.271,-0.2388,-0.586765,-0.827171
-0.27,-0.238335,-0.588207,-0.829829
-0.269,-0.237863,-0.589645,-0.83249
-0.268,-0.237385,-0.59108,-0.835154
-0.267,-0.236901,-0.59251,-0.83782
-0.266,-0.236411,-0.593936,-0.840488
-0.265,-0.235914,-0.595358,-0.843159
-0.264,-0.235412,-0.596776,-0.845833
-0.263,-0.234903,-0.598189,-0.848508
-0.262,-0.234389,-0.599598,-0.851186
-0.261,-0.233869,-0.601003,-0.853867
-0.26,-0.233342,-0.602403,-0.856549
-0.259,-0.23281,-0.603799,-0.859234
